heur;depth;wins;hirs;avgloss;delta;sigma;;;;
11; Spr;227;159;1,092752083;5,85208;9,03362;;;;
11;0;227;159;1,092752083;5,85208;9,03362;;;;
10;0;204;167;1,099989583;6,50208;10,3637;;;;
9;0;214;168;1,10234375;6,71875;10,8083;;;;
21;0;160;133;1,120639583;7,64583;10,9123;;;;
3;0;160;134;1,127835417;8,18542;12,3154;;;;Ёвристики:
12;0;172;140;1,133177083;8,25417;11,6676;;;;2 Ц max successors number
9; Spr;50;48;1,179254167;11,2312;15,1838;;;;3 Ц max maxNextChain
11;4;112;103;1,18359375;11,0188;14,5423;;;;9 Ц min latestart
2;3;111;101;1,184889583;11,1708;14,8174;;;;10 Ц min latefinish
11;3;110;97;1,18535625;11,1938;14,8392;;;;11 Ц min feasible start
12;4;99;94;1,186116667;11,1438;14,5832;;;;12 Ц min feasible finish
2;4;108;98;1,186160417;11,3104;15,0456;;;;15 Ц max timeToCompletion()
2;2;107;101;1,186552083;11,3083;15,0357;;;;16 Ц max assignments.size()
12;3;102;92;1,187579167;11,2708;14,804;;;;21 Ц min rankposweight
16;3;98;89;1,190427083;11,5188;15,3527;;;;0 Ц критический путь
11;2;100;96;1,192452083;11,6875;15,2566;;;;
16;2;88;84;1,192739583;11,6958;15,521;;;;Spr Ц класс SprecherSolver (отсечени€) с соответствующими эвристиками
12;2;102;94;1,195422917;11,7875;15,379;;;;
2;1;98;95;1,19553125;11,8396;15,5876;;;;delta Ц среднее абсолютное отклонение
16;4;95;87;1,195752083;11,8479;15,6689;;;;sigma Ц среднее квадратичное отклонение
21;4;96;90;1,198764583;11,8792;15,41;;;;
21;3;90;84;1,204310417;12,2312;15,7605;;;;
3;4;94;87;1,20444375;12,3604;16,0819;;;;
3;3;96;91;1,20601875;12,4375;16,2683;;;;
16;1;88;81;1,206033333;12,5;16,5269;;;;
2;0;89;85;1,211460417;13,0104;17,3576;;;;
11;1;96;91;1,21201875;12,9229;16,9233;;;;
21;2;89;84;1,21498125;12,9729;16,741;;;;
0;1;93;87;1,215135417;13,0063;16,7431;;;;
12;1;103;98;1,21601875;13,0458;17,2048;;;;
0;0;91;85;1,21638125;13,0875;16,8243;;;;
16;0;83;79;1,222460417;13,6146;18,0842;;;;
3;2;91;88;1,225033333;13,6208;17,7069;;;;
21;1;85;80;1,24053125;14,4792;18,748;;;;
15;0;83;81;1,240702083;14,9312;20,5176;;;;
10;4;74;71;1,243270833;14,625;18,3219;;;;
9;4;79;76;1,245347917;14,7;18,2725;;;;
3;1;93;92;1,253;15,3479;19,8007;;;;
15;1;58;58;1,253435417;15,3062;19,1907;;;;
10;3;77;75;1,25380625;15,2479;18,9852;;;;
9;3;79;76;1,25621875;15,4021;19,141;;;;
21; Spr;2;1;1,2566375;15,1854;17,0151;;;;
9;2;89;85;1,26630625;16,0479;20,0932;;;;
10;2;82;81;1,26718125;16,1125;20,0881;;;;
12; Spr;2;1;1,269608333;15,6729;17,3762;;;;
9;1;85;83;1,287239583;17,2875;21,5564;;;;
10;1;77;76;1,2900625;17,4604;21,6443;;;;
10; Spr;0;0;1,301845833;17,55;19,5396;;;;
15;2;47;47;1,321395833;19,3729;23,8015;;;;
15;3;44;44;1,364235417;22,0167;26,6737;;;;
3; Spr;1;1;1,373797917;21,6333;23,5559;;;;
15;4;32;32;1,412277083;24,7292;29,2926;;;;
6; Spr;0;0;1,645933333;36,3875;37,9707;;;;
2; Spr;0;0;1,653202083;36,7167;38,421;;;;
0; Spr;0;0;1,737222917;40,9833;42,7271;;;;
16; Spr;0;0;1,7424625;41,4729;43,1006;;;;
1; Spr;0;0;1,7613625;42,3896;43,9255;;;;
18; Spr;0;0;1,771475;43,0938;44,4375;;;;
17; Spr;0;0;1,776272917;43,4188;44,8655;;;;
19; Spr;0;0;1,804777083;45,1437;46,5577;;;;
20; Spr;0;0;1,811633333;45,4313;46,9356;;;;
4; Spr;0;0;1,81423125;45,4521;46,8232;;;;
14; Spr;0;0;1,847475;47,4417;48,6824;;;;
8; Spr;0;0;1,859685417;48,0313;49,6202;;;;
5; Spr;0;0;1,873370833;48,5187;49,691;;;;
15; Spr;0;0;1,886377083;49,5812;51,3512;;;;
7; Spr;0;0;1,912460417;50,9646;52,4449;;;;
13; Spr;0;0;1,916533333;51,4396;53,0446;;;;
