file; time; heur; depth
j301_1.sm;43; Optimal; Time
j301_1.sm;58;12;2
j301_1.sm;58;21;2
j301_1.sm;59;12;3
j301_1.sm;59;12;4
j301_1.sm;59;21;3
j301_1.sm;59;21;4
j301_1.sm;61;12;1
j301_1.sm;61;21;1
j301_1.sm;64;11;1
j301_1.sm;65;11;3
j301_1.sm;66;3;0
j301_1.sm;66;3;1
j301_1.sm;66;3;2
j301_1.sm;66;3;3
j301_1.sm;66;3;4
j301_1.sm;66;12;0
j301_1.sm;68;11;4
j301_1.sm;69;0;0
j301_1.sm;69;0;1
j301_1.sm;69;0;2
j301_1.sm;70;2;1
j301_1.sm;70;2;2
j301_1.sm;70;2;3
j301_1.sm;70;2;4
j301_1.sm;71;9;3
j301_1.sm;71;9;4
j301_1.sm;71;10;3
j301_1.sm;71;10;4
j301_1.sm;72;9;1
j301_1.sm;72;10;1
j301_1.sm;73;2;0
j301_1.sm;76;15;1
j301_1.sm;76;15;2
j301_1.sm;76;16;0
j301_1.sm;76;16;1
j301_1.sm;76;16;2
j301_1.sm;76;16;3
j301_1.sm;76;16;4
j301_1.sm;76;21;0
j301_1.sm;77;11;0
j301_1.sm;77;15;0
j301_1.sm;77;15;3
j301_1.sm;79;11;2
j301_1.sm;84;9;0
j301_1.sm;84;10;0
j301_1.sm;86;9;2
j301_1.sm;86;10;2
j301_1.sm;92;15;4
j301_10.sm;45; Optimal; Time
j301_10.sm;50;11;3
j301_10.sm;50;11;4
j301_10.sm;50;12;2
j301_10.sm;50;12;3
j301_10.sm;50;12;4
j301_10.sm;50;21;2
j301_10.sm;50;21;3
j301_10.sm;50;21;4
j301_10.sm;52;11;0
j301_10.sm;52;12;1
j301_10.sm;52;21;1
j301_10.sm;53;11;2
j301_10.sm;57;12;0
j301_10.sm;57;21;0
j301_10.sm;58;3;1
j301_10.sm;58;3;2
j301_10.sm;60;11;1
j301_10.sm;60;15;0
j301_10.sm;61;0;0
j301_10.sm;61;0;1
j301_10.sm;61;0;2
j301_10.sm;61;2;1
j301_10.sm;61;2;2
j301_10.sm;61;16;0
j301_10.sm;61;16;1
j301_10.sm;61;16;2
j301_10.sm;63;3;0
j301_10.sm;63;3;4
j301_10.sm;65;2;3
j301_10.sm;65;2;4
j301_10.sm;65;3;3
j301_10.sm;65;9;0
j301_10.sm;65;9;1
j301_10.sm;65;9;2
j301_10.sm;65;10;0
j301_10.sm;65;10;1
j301_10.sm;65;10;2
j301_10.sm;65;16;3
j301_10.sm;65;16;4
j301_10.sm;68;2;0
j301_10.sm;68;9;3
j301_10.sm;68;10;3
j301_10.sm;69;9;4
j301_10.sm;69;10;4
j301_10.sm;69;15;1
j301_10.sm;75;15;2
j301_10.sm;75;15;3
j301_10.sm;85;15;4
j301_2.sm;47; Optimal; Time
j301_2.sm;54;0;0
j301_2.sm;54;0;1
j301_2.sm;54;0;2
j301_2.sm;54;11;0
j301_2.sm;54;11;1
j301_2.sm;54;11;2
j301_2.sm;54;11;3
j301_2.sm;54;11;4
j301_2.sm;54;12;0
j301_2.sm;54;12;1
j301_2.sm;54;12;2
j301_2.sm;54;12;3
j301_2.sm;54;12;4
j301_2.sm;54;21;0
j301_2.sm;54;21;1
j301_2.sm;54;21;2
j301_2.sm;54;21;3
j301_2.sm;54;21;4
j301_2.sm;56;10;1
j301_2.sm;56;10;2
j301_2.sm;56;10;3
j301_2.sm;56;10;4
j301_2.sm;57;10;0
j301_2.sm;60;3;3
j301_2.sm;61;2;0
j301_2.sm;61;2;1
j301_2.sm;61;2;2
j301_2.sm;64;2;3
j301_2.sm;64;2;4
j301_2.sm;64;3;4
j301_2.sm;64;15;0
j301_2.sm;64;16;0
j301_2.sm;64;16;1
j301_2.sm;64;16;2
j301_2.sm;64;16;3
j301_2.sm;64;16;4
j301_2.sm;65;15;2
j301_2.sm;67;9;2
j301_2.sm;67;9;3
j301_2.sm;67;9;4
j301_2.sm;67;15;1
j301_2.sm;69;9;0
j301_2.sm;69;9;1
j301_2.sm;69;15;3
j301_2.sm;74;3;0
j301_2.sm;74;3;1
j301_2.sm;74;3;2
j301_2.sm;92;15;4
j301_3.sm;47; Optimal; Time
j301_3.sm;53;16;0
j301_3.sm;53;16;1
j301_3.sm;55;2;2
j301_3.sm;55;2;3
j301_3.sm;55;2;4
j301_3.sm;55;3;4
j301_3.sm;55;16;2
j301_3.sm;55;16;3
j301_3.sm;55;16;4
j301_3.sm;57;2;0
j301_3.sm;58;11;0
j301_3.sm;58;11;1
j301_3.sm;58;11;2
j301_3.sm;58;11;3
j301_3.sm;58;12;0
j301_3.sm;58;12;1
j301_3.sm;58;12;2
j301_3.sm;58;12;3
j301_3.sm;58;21;0
j301_3.sm;58;21;1
j301_3.sm;58;21;2
j301_3.sm;58;21;3
j301_3.sm;59;3;1
j301_3.sm;59;3;2
j301_3.sm;59;3;3
j301_3.sm;59;9;0
j301_3.sm;59;9;1
j301_3.sm;59;10;0
j301_3.sm;59;10;1
j301_3.sm;59;15;0
j301_3.sm;60;3;0
j301_3.sm;60;11;4
j301_3.sm;60;12;4
j301_3.sm;60;15;3
j301_3.sm;60;15;4
j301_3.sm;60;21;4
j301_3.sm;62;0;0
j301_3.sm;62;0;1
j301_3.sm;62;0;2
j301_3.sm;63;9;2
j301_3.sm;63;10;2
j301_3.sm;64;2;1
j301_3.sm;67;9;4
j301_3.sm;67;10;4
j301_3.sm;72;9;3
j301_3.sm;72;10;3
j301_3.sm;79;15;1
j301_3.sm;84;15;2
j301_4.sm;62; Optimal; Time
j301_4.sm;74;0;0
j301_4.sm;74;0;1
j301_4.sm;74;0;2
j301_4.sm;79;11;0
j301_4.sm;79;11;1
j301_4.sm;83;12;3
j301_4.sm;85;3;0
j301_4.sm;85;15;0
j301_4.sm;86;2;2
j301_4.sm;86;2;3
j301_4.sm;86;2;4
j301_4.sm;86;16;0
j301_4.sm;86;16;1
j301_4.sm;86;16;2
j301_4.sm;86;16;3
j301_4.sm;86;16;4
j301_4.sm;87;15;1
j301_4.sm;88;2;0
j301_4.sm;88;12;0
j301_4.sm;88;12;2
j301_4.sm;88;21;4
j301_4.sm;89;11;4
j301_4.sm;90;2;1
j301_4.sm;90;3;1
j301_4.sm;90;9;1
j301_4.sm;90;10;1
j301_4.sm;90;12;4
j301_4.sm;91;3;2
j301_4.sm;91;3;3
j301_4.sm;91;3;4
j301_4.sm;92;9;4
j301_4.sm;92;10;4
j301_4.sm;95;9;2
j301_4.sm;95;9;3
j301_4.sm;95;10;2
j301_4.sm;95;10;3
j301_4.sm;96;11;3
j301_4.sm;100;9;0
j301_4.sm;100;10;0
j301_4.sm;101;11;2
j301_4.sm;101;12;1
j301_4.sm;102;21;0
j301_4.sm;102;21;1
j301_4.sm;102;21;2
j301_4.sm;102;21;3
j301_4.sm;103;15;4
j301_4.sm;105;15;2
j301_4.sm;105;15;3
j301_5.sm;39; Optimal; Time
j301_5.sm;48;11;4
j301_5.sm;54;11;0
j301_5.sm;54;11;1
j301_5.sm;54;11;2
j301_5.sm;54;11;3
j301_5.sm;54;12;4
j301_5.sm;54;21;4
j301_5.sm;57;0;0
j301_5.sm;57;0;1
j301_5.sm;57;0;2
j301_5.sm;57;12;0
j301_5.sm;57;12;1
j301_5.sm;57;12;2
j301_5.sm;57;12;3
j301_5.sm;57;21;0
j301_5.sm;57;21;1
j301_5.sm;57;21;2
j301_5.sm;57;21;3
j301_5.sm;58;2;2
j301_5.sm;58;2;3
j301_5.sm;58;2;4
j301_5.sm;58;3;2
j301_5.sm;58;3;3
j301_5.sm;58;3;4
j301_5.sm;58;16;0
j301_5.sm;58;16;1
j301_5.sm;58;16;2
j301_5.sm;58;16;3
j301_5.sm;58;16;4
j301_5.sm;59;9;3
j301_5.sm;59;10;3
j301_5.sm;60;10;4
j301_5.sm;61;2;0
j301_5.sm;66;3;1
j301_5.sm;66;9;4
j301_5.sm;66;15;0
j301_5.sm;67;9;2
j301_5.sm;67;10;2
j301_5.sm;68;9;1
j301_5.sm;68;10;1
j301_5.sm;73;2;1
j301_5.sm;73;3;0
j301_5.sm;75;9;0
j301_5.sm;75;10;0
j301_5.sm;76;15;2
j301_5.sm;76;15;4
j301_5.sm;78;15;1
j301_5.sm;84;15;3
j301_6.sm;48; Optimal; Time
j301_6.sm;56;3;0
j301_6.sm;62;9;3
j301_6.sm;62;9;4
j301_6.sm;63;2;1
j301_6.sm;63;2;2
j301_6.sm;63;2;3
j301_6.sm;63;2;4
j301_6.sm;63;3;1
j301_6.sm;63;3;2
j301_6.sm;63;3;3
j301_6.sm;63;3;4
j301_6.sm;63;16;1
j301_6.sm;63;16;2
j301_6.sm;63;16;3
j301_6.sm;63;16;4
j301_6.sm;64;15;0
j301_6.sm;64;15;1
j301_6.sm;66;12;3
j301_6.sm;68;2;0
j301_6.sm;69;10;0
j301_6.sm;69;10;1
j301_6.sm;69;11;1
j301_6.sm;69;12;1
j301_6.sm;70;9;2
j301_6.sm;71;16;0
j301_6.sm;73;12;2
j301_6.sm;73;12;4
j301_6.sm;73;21;0
j301_6.sm;73;21;1
j301_6.sm;73;21;3
j301_6.sm;73;21;4
j301_6.sm;74;10;2
j301_6.sm;74;11;4
j301_6.sm;75;15;2
j301_6.sm;75;15;3
j301_6.sm;76;11;2
j301_6.sm;76;11;3
j301_6.sm;77;11;0
j301_6.sm;77;12;0
j301_6.sm;78;10;3
j301_6.sm;78;10;4
j301_6.sm;79;9;0
j301_6.sm;79;9;1
j301_6.sm;79;15;4
j301_6.sm;80;21;2
j301_6.sm;81;0;0
j301_6.sm;81;0;1
j301_6.sm;81;0;2
j301_7.sm;60; Optimal; Time
j301_7.sm;60;2;0
j301_7.sm;60;2;1
j301_7.sm;60;2;2
j301_7.sm;60;2;3
j301_7.sm;60;2;4
j301_7.sm;60;3;4
j301_7.sm;60;16;0
j301_7.sm;60;16;1
j301_7.sm;60;16;2
j301_7.sm;60;16;3
j301_7.sm;60;16;4
j301_7.sm;62;3;3
j301_7.sm;64;11;1
j301_7.sm;67;11;0
j301_7.sm;67;12;0
j301_7.sm;67;21;0
j301_7.sm;68;3;2
j301_7.sm;69;15;0
j301_7.sm;70;0;0
j301_7.sm;70;0;1
j301_7.sm;70;0;2
j301_7.sm;70;9;4
j301_7.sm;70;10;4
j301_7.sm;70;11;2
j301_7.sm;70;11;3
j301_7.sm;70;11;4
j301_7.sm;70;12;1
j301_7.sm;70;12;2
j301_7.sm;70;12;3
j301_7.sm;70;21;1
j301_7.sm;70;21;2
j301_7.sm;70;21;3
j301_7.sm;70;21;4
j301_7.sm;73;12;4
j301_7.sm;81;3;0
j301_7.sm;82;10;0
j301_7.sm;83;3;1
j301_7.sm;85;9;1
j301_7.sm;85;10;1
j301_7.sm;88;9;2
j301_7.sm;88;9;3
j301_7.sm;88;10;2
j301_7.sm;88;10;3
j301_7.sm;90;15;1
j301_7.sm;90;15;2
j301_7.sm;100;9;0
j301_7.sm;110;15;4
j301_7.sm;111;15;3
