heur; depth; wins; hits; avgloss;;
11; Spr;224;159;1,092752083;;
11;0;224;159;1,092752083;;
10;0;200;167;1,099989583;;Ёвристики:
9;0;212;168;1,10234375;;2 Ц max successors number
21;0;160;133;1,120639583;;3 Ц max maxNextChain
3;0;159;134;1,127835417;;9 Ц min latestart
12;0;170;140;1,133177083;;10 Ц min latefinish
12;5;110;103;1,176104167;;11 Ц min feasible start
11;5;115;105;1,177108333;;12 Ц min feasible finish
9; Spr;50;48;1,179254167;;15 Ц max timeToCompletion()
11;4;111;103;1,18359375;;16 Ц max assignments.size()
2;3;111;101;1,184889583;;21 Ц min rankposweight
11;3;110;97;1,18535625;;0 Ц критический путь
12;4;99;94;1,186116667;;
2;4;108;98;1,186160417;;Spr Ц класс SprecherSolver (отсечени€) с соответствующими эвристиками
2;2;107;101;1,186552083;;
12;3;102;92;1,187579167;;
16;3;98;89;1,190427083;;
21;5;103;97;1,191152083;;
2;5;100;95;1,19235;;
11;2;100;96;1,192452083;;
16;2;88;84;1,192739583;;
12;2;102;94;1,195422917;;
2;1;98;95;1,19553125;;
16;4;95;87;1,195752083;;
21;4;96;90;1,198764583;;
16;5;91;85;1,201629167;;
21;3;89;84;1,204310417;;
3;4;94;87;1,20444375;;
3;5;92;87;1,205670833;;
3;3;95;91;1,20601875;;
16;1;88;81;1,206033333;;
0;4;96;89;1,2088;;
2;0;89;85;1,211460417;;
11;1;96;91;1,21201875;;
0;3;95;89;1,21291875;;
21;2;89;84;1,21498125;;
0;1;93;87;1,215135417;;
0;2;93;87;1,215135417;;
12;1;103;98;1,21601875;;
0;0;91;85;1,21638125;;
16;0;83;79;1,222460417;;
10;5;81;78;1,22415;;
3;2;91;88;1,225033333;;
9;5;83;82;1,226897917;;
21;1;84;80;1,24053125;;
15;0;83;81;1,240702083;;
10;4;73;71;1,243270833;;
9;4;79;76;1,245347917;;
3;1;93;92;1,253;;
15;1;58;58;1,253435417;;
10;3;77;75;1,25380625;;
9;3;79;76;1,25621875;;
21; Spr;2;1;1,2566375;;
9;2;89;85;1,26630625;;
10;2;82;81;1,26718125;;
12; Spr;2;1;1,269608333;;
9;1;85;83;1,287239583;;
10;1;77;76;1,2900625;;
10; Spr;0;0;1,301845833;;
15;2;47;47;1,321395833;;
15;3;44;44;1,364235417;;
3; Spr;1;1;1,373797917;;
15;4;32;32;1,412277083;;
15;5;26;26;1,454022917;;
6; Spr;0;0;1,645933333;;
2; Spr;0;0;1,653202083;;
0; Spr;0;0;1,737222917;;
16; Spr;0;0;1,7424625;;
1; Spr;0;0;1,7613625;;
18; Spr;0;0;1,771475;;
17; Spr;0;0;1,776272917;;
19; Spr;0;0;1,804777083;;
20; Spr;0;0;1,811633333;;
4; Spr;0;0;1,81423125;;
14; Spr;0;0;1,847475;;
8; Spr;0;0;1,859685417;;
5; Spr;0;0;1,873370833;;
15; Spr;0;0;1,886377083;;
7; Spr;0;0;1,912460417;;
13; Spr;0;0;1,916533333;;
