heur; depth; wins; hits; avg_loss;;
11;0;247;159;1,092752083;;Ёвристики:
10;0;221;167;1,099989583;;2 Ц max successors number
9;0;229;168;1,10234375;;3 Ц max maxNextChain
21;0;173;133;1,120639583;;9 Ц min latestart
3;0;170;134;1,127835417;;10 Ц min latefinish
12;0;181;140;1,133177083;;11 Ц min feasible start
12;5;110;103;1,176104167;;12 Ц min feasible finish
11;5;115;105;1,177108333;;15 Ц max timeToCompletion()
11;4;111;103;1,18359375;;16 Ц max assignments.size()
2;3;111;101;1,184889583;;21 Ц min rankposweight
11;3;110;97;1,18535625;;
12;4;99;94;1,186116667;;
2;4;108;98;1,186160417;;
2;2;107;101;1,186552083;;
12;3;102;92;1,187579167;;
16;3;98;89;1,190427083;;
21;5;103;97;1,191152083;;
2;5;100;95;1,19235;;
11;2;100;96;1,192452083;;
16;2;88;84;1,192739583;;
12;2;102;94;1,195422917;;
2;1;98;95;1,19553125;;
16;4;95;87;1,195752083;;
21;4;96;90;1,198764583;;
16;5;91;85;1,201629167;;
21;3;89;84;1,204310417;;
3;4;94;87;1,20444375;;
3;5;92;87;1,205670833;;
3;3;95;91;1,20601875;;
16;1;88;81;1,206033333;;
0;4;96;89;1,2088;;
2;0;93;85;1,211460417;;
11;1;96;91;1,21201875;;
0;3;95;89;1,21291875;;
21;2;89;84;1,21498125;;
0;1;93;87;1,215135417;;
0;2;93;87;1,215135417;;
12;1;103;98;1,21601875;;
0;0;91;85;1,21638125;;
16;0;86;79;1,222460417;;
10;5;81;78;1,22415;;
3;2;91;88;1,225033333;;
9;5;83;82;1,226897917;;
21;1;84;80;1,24053125;;
15;0;87;81;1,240702083;;
10;4;73;71;1,243270833;;
9;4;79;76;1,245347917;;
3;1;93;92;1,253;;
15;1;58;58;1,253435417;;
10;3;77;75;1,25380625;;
9;3;79;76;1,25621875;;
9;2;89;85;1,26630625;;
10;2;82;81;1,26718125;;
9;1;85;83;1,287239583;;
10;1;77;76;1,2900625;;
15;2;47;47;1,321395833;;
15;3;44;44;1,364235417;;
15;4;32;32;1,412277083;;
15;5;26;26;1,454022917;;
